COUNTRY,GDP,GINI,region,co2_2015,co2_2016,co2_2017,co2_2018,cpi_2012,cpi_2013,cpi_2014,cpi_2015,cpi_2016,cpi_2017,lifeexp_2012,lifeexp_2013,lifeexp_2014,lifeexp_2015,lifeexp_2016,lifeexp_2017,lifeexp_2018,random1,random2,random3,random4
Afghanistan,574,36.8,Asia & Pacific,0.262,0.245,0.247,0.254,8,8,12,11,15,15,60.8,61.3,61.2,61.2,61.2,63.4,63.7,-0.9034616252208536,0.26284477883018553,0.7706266045150282,0.5938653635863617
Albania,4520,29,Europe,1.6,1.57,1.61,1.59,33,31,33,36,39,38,77.8,77.9,77.9,78,78.1,78.2,78.3,-0.9315785215610962,0.8769629949238151,0.8532965248030545,0.7281149592409698
Algeria,4780,27.6,Arab States,3.8,3.64,3.56,3.69,34,36,36,36,34,33,76.8,76.9,77,77.1,77.4,77.7,77.9,0.7420078024015946,0.9611621301155537,0.2807853030972183,0.07884038643539673
Andorra,42100,40,Europe,5.97,6.07,6.27,6.12,NA,NA,NA,NA,NA,NA,82.4,82.5,82.5,82.6,82.7,82.7,NA,-0.5748371902679846,0.6933212142903358,1.9286870378160719,3.7198336898397337
Angola,3750,42.6,Africa,1.22,1.18,1.14,1.12,22,23,19,15,18,19,61.3,61.9,62.8,63.3,63.8,64.2,64.6,0.5144000652640643,0.971114354673773,0.20937394793829964,0.043837450075269804
Antigua and Barbuda,13300,40,South/Latin America,5.84,5.9,5.89,5.88,NA,NA,NA,NA,NA,NA,76.7,76.8,76.8,76.9,77,77,77.2,-0.533826513289873,0.33154629194177687,0.4285640688613057,0.18366716111895798
Argentina,10600,41.8,South/Latin America,4.64,4.6,4.55,4.41,35,34,34,32,36,39,76,76.1,76.4,76.5,76.5,76.7,76.8,-2.4207602333152107,0.3738864010665566,0.4037909978069365,0.1630471699099214
Armenia,3920,31.9,Europe,1.65,1.76,1.7,1.89,34,36,37,35,33,35,74.7,75.2,75.3,75.3,75.4,75.6,75.8,0.383567530575418,0.9742449035402387,1.901051781987572,3.6139978777981234
Australia,55100,32.3,Asia & Pacific,16.8,17,17,16.9,85,81,80,79,79,77,82.5,82.6,82.5,82.5,82.5,82.4,82.5,0.21393077678936115,0.7170544574037194,0.41464508324861526,0.17193054506225108
Austria,47800,30.6,Europe,7.7,7.7,7.94,7.75,69,69,72,76,75,75,81,81.2,81.4,81.5,81.7,81.8,81.9,-0.9951213526240911,0.6627395646646619,0.3672738797031343,0.13489010271219237
Azerbaijan,6060,32.4,Asia & Pacific,3.86,3.82,3.73,3.7,27,28,29,29,30,31,69.8,70.1,70.3,70.5,70.6,70.8,70.9,1.0235058853953807,0.9516316188964993,0.6407660651020706,0.41058115018639096
Bahamas,27500,43.7,South/Latin America,5.39,4.73,4.72,4.7,71,71,71,NA,66,65,73.4,73.5,73.5,73.3,73.6,73.7,73.9,0.887250574910599,0.17037463374435902,0.20750895387002433,0.04305996593623188
Bahrain,22400,40,Arab States,23.8,22.1,21.3,19.8,51,48,49,51,43,36,78.7,78.9,79.2,79.3,79.4,79.5,79.6,-0.7392383689950942,0.6724038599058986,1.2152975629595044,1.4769481665353106
Bangladesh,1000,32.3,Asia & Pacific,0.467,0.481,0.494,0.531,26,27,25,25,26,28,71.1,71.7,72,72.5,72.9,73.1,73.4,0.6816100633444029,0.3155902430880815,0.1826496939174831,0.03336091068815026
Barbados,15800,43.8,South/Latin America,4.36,4.43,4.44,4.48,76,75,74,NA,61,68,77.1,77.1,77.1,77.1,77.1,77.1,77.2,0.38153378895251927,0.6681713978759944,0.7693822661740249,0.5919490715030782
Belarus,6380,26.9,Europe,6.29,6.46,6.64,6.93,31,29,31,32,40,44,72.2,72.6,73.1,73.8,74,74,74.3,2.4526946751304086,0.46143370191566646,0.9666588836860778,0.934429397409214
