"country","gdp","gini","region"
"Afghanistan",574,36.8,"Asia & Pacific"
"Albania",4520,29,"Europe"
"Algeria",4780,27.6,"Arab States"
"Andorra",42100,40,"Europe"
"Angola",3750,42.6,"Africa"
"Antigua and Barbuda",13300,40,"South/Latin America"
"Argentina",10600,41.8,"South/Latin America"
"Armenia",3920,31.9,"Europe"
"Australia",55100,32.3,"Asia & Pacific"
"Austria",47800,30.6,"Europe"
"Azerbaijan",6060,32.4,"Asia & Pacific"
"Bahamas",27500,43.7,"South/Latin America"
"Bahrain",22400,40,"Arab States"
"Bangladesh",1000,32.3,"Asia & Pacific"
"Barbados",15800,43.8,"South/Latin America"
"Belarus",6380,26.9,"Europe"
"Belgium",45500,27.8,"Europe"
"Belize",4300,53.3,"South/Latin America"
"Benin",1130,46.9,"Africa"
"Bhutan",2780,38,"Asia & Pacific"
"Bolivia",2360,46.3,"South/Latin America"
"Bosnia and Herzegovina",5360,32.7,"Europe"
"Botswana",7610,60.5,"Africa"
"Brazil",11400,51.6,"South/Latin America"
"Brunei",32900,40,"Asia & Pacific"
"Bulgaria",7660,37.3,"Europe"
"Burkina Faso",727,35.5,"Africa"
"Burundi",228,38.5,"Africa"
"Cambodia",1020,42,"Asia & Pacific"
"Cameroon",1440,46.5,"Africa"
"Canada",50300,31.7,"North America"
"Cape Verde",3410,47.2,"Africa"
"Central African Republic",347,56.2,"Africa"
"Chad",957,43.3,"Africa"
"Chile",14700,47.5,"South/Latin America"
"China",6500,39.4,"Asia & Pacific"
"Colombia",7580,51.7,"South/Latin America"
"Comoros",1350,45.5,"Arab States"
"Congo, Dem. Rep.",411,42.1,"Africa"
"Congo, Rep.",3010,48.9,"Africa"
"Costa Rica",9220,48.7,"South/Latin America"
"Cote d'Ivoire",1460,41.6,"Africa"
"Croatia",14100,31.5,"Europe"
"Cuba",6520,43.4,"South/Latin America"
"Cyprus",27900,34.9,"Europe"
"Czech Republic",21400,26,"Europe"
"Denmark",60400,28.3,"Europe"
"Djibouti",NA,44.1,"Arab States"
"Dominica",6890,40,"South/Latin America"
"Dominican Republic",6660,45.3,"South/Latin America"
"Ecuador",5330,45.6,"South/Latin America"
"Egypt",2700,31.2,"Middle east"
"El Salvador",3310,41.1,"South/Latin America"
"Equatorial Guinea",14100,40,"Africa"
"Eritrea",NA,40,"Africa"
"Estonia",17600,33.5,"Europe"
"Eswatini",4650,51.5,"Africa"
"Ethiopia",483,37.7,"Africa"
