"country","gdp_2015","gini_2015","region","co2_2015","co2_2016","co2_2017","co2_2018","cpi_2012","cpi_2013","cpi_2014","cpi_2015","cpi_2016","cpi_2017","lifeexp_2012","lifeexp_2013","lifeexp_2014","lifeexp_2015","lifeexp_2016","lifeexp_2017","lifeexp_2018"
"Afghanistan",574,36.8,"Asia & Pacific",0.262,0.245,0.247,0.254,8,8,12,11,15,15,60.8,61.3,61.2,61.2,61.2,63.4,63.7
"Albania",4520,29,"Europe",1.6,1.57,1.61,1.59,33,31,33,36,39,38,77.8,77.9,77.9,78,78.1,78.2,78.3
"Algeria",4780,27.6,"Arab States",3.8,3.64,3.56,3.69,34,36,36,36,34,33,76.8,76.9,77,77.1,77.4,77.7,77.9
"Andorra",42100,40,"Europe",5.97,6.07,6.27,6.12,NA,NA,NA,NA,NA,NA,82.4,82.5,82.5,82.6,82.7,82.7,NA
"Angola",3750,42.6,"Africa",1.22,1.18,1.14,1.12,22,23,19,15,18,19,61.3,61.9,62.8,63.3,63.8,64.2,64.6
"Antigua and Barbuda",13300,40,"South/Latin America",5.84,5.9,5.89,5.88,NA,NA,NA,NA,NA,NA,76.7,76.8,76.8,76.9,77,77,77.2
"Argentina",10600,41.8,"South/Latin America",4.64,4.6,4.55,4.41,35,34,34,32,36,39,76,76.1,76.4,76.5,76.5,76.7,76.8
"Armenia",3920,31.9,"Europe",1.65,1.76,1.7,1.89,34,36,37,35,33,35,74.7,75.2,75.3,75.3,75.4,75.6,75.8
"Australia",55100,32.3,"Asia & Pacific",16.8,17,17,16.9,85,81,80,79,79,77,82.5,82.6,82.5,82.5,82.5,82.4,82.5
"Austria",47800,30.6,"Europe",7.7,7.7,7.94,7.75,69,69,72,76,75,75,81,81.2,81.4,81.5,81.7,81.8,81.9
"Azerbaijan",6060,32.4,"Asia & Pacific",3.86,3.82,3.73,3.7,27,28,29,29,30,31,69.8,70.1,70.3,70.5,70.6,70.8,70.9
"Bahamas",27500,43.7,"South/Latin America",5.39,4.73,4.72,4.7,71,71,71,NA,66,65,73.4,73.5,73.5,73.3,73.6,73.7,73.9
"Bahrain",22400,40,"Arab States",23.8,22.1,21.3,19.8,51,48,49,51,43,36,78.7,78.9,79.2,79.3,79.4,79.5,79.6
"Bangladesh",1000,32.3,"Asia & Pacific",0.467,0.481,0.494,0.531,26,27,25,25,26,28,71.1,71.7,72,72.5,72.9,73.1,73.4
"Barbados",15800,43.8,"South/Latin America",4.36,4.43,4.44,4.48,76,75,74,NA,61,68,77.1,77.1,77.1,77.1,77.1,77.1,77.2
"Belarus",6380,26.9,"Europe",6.29,6.46,6.64,6.93,31,29,31,32,40,44,72.2,72.6,73.1,73.8,74,74,74.3
"Belgium",45500,27.8,"Europe",8.84,8.68,8.55,8.69,75,75,76,77,77,75,80.3,80.5,80.9,80.9,81.2,81.4,81.5
"Belize",4300,53.3,"South/Latin America",1.61,1.54,1.51,1.5,NA,NA,NA,NA,NA,NA,74,74.1,74.1,74,74.1,74.2,74.3
"Benin",1130,46.9,"Africa",0.555,0.577,0.618,0.623,36,36,39,37,36,39,62.2,62.6,63,63.5,64.1,64.6,64.9
"Bhutan",2780,38,"Asia & Pacific",1.34,1.56,1.58,1.61,63,63,65,65,65,67,72.5,72.8,73.1,73.5,73.8,74,74.4
"Bolivia",2360,46.3,"South/Latin America",1.81,1.92,1.94,1.96,34,34,35,34,33,33,71.4,71.7,71.9,72.2,72.5,72.8,73.1
"Bosnia and Herzegovina",5360,32.7,"Europe",5.39,6.42,6.5,6.53,42,42,39,38,39,38,76.6,76.5,76.6,76.4,76.5,76.7,76.9
"Botswana",7610,60.5,"Africa",2.56,2.93,3.14,2.96,65,64,63,63,60,61,63.2,64.5,65.8,66.9,68.1,69.1,69.5
"Brazil",11400,51.6,"South/Latin America",2.42,2.2,2.23,2.18,43,42,43,38,40,37,74.9,75.1,75.3,75.5,75.4,75.5,75.7
"Brunei",32900,40,"Asia & Pacific",16.8,18,17.9,18.5,55,60,NA,NA,58,62,75,75,75.1,75.1,75.2,75.3,75.5
"Bulgaria",7660,37.3,"Europe",6.69,6.33,6.68,6.32,41,41,43,41,41,43,74.5,74.8,74.5,74.8,74.9,74.9,75
"Burkina Faso",727,35.5,"Africa",0.182,0.181,0.196,0.198,38,38,38,38,42,42,59.2,59.7,60.2,60.7,61.2,61.7,62.1
"Burundi",228,38.5,"Africa",0.0386,0.0461,0.047,0.0467,19,21,20,21,20,22,59.3,59.9,60.5,60.8,61.2,61.5,61.9
