"","country","gdp","gini","region"
"1","Afghanistan",574,36.8,"Asia & Pacific"
"2","Albania",4520,29,"Europe"
"3","Algeria",4780,27.6,"Arab States"
"4","Andorra",42100,40,"Europe"
"5","Angola",3750,42.6,"Africa"
"6","Antigua and Barbuda",13300,40,"South/Latin America"
"7","Argentina",10600,41.8,"South/Latin America"
"8","Armenia",3920,31.9,"Europe"
"9","Australia",55100,32.3,"Asia & Pacific"
"10","Austria",47800,30.6,"Europe"
"11","Azerbaijan",6060,32.4,"Asia & Pacific"
"12","Bahamas",27500,43.7,"South/Latin America"
"13","Bahrain",22400,40,"Arab States"
"14","Bangladesh",1000,32.3,"Asia & Pacific"
"15","Barbados",15800,43.8,"South/Latin America"
"16","Belarus",6380,26.9,"Europe"
"17","Belgium",45500,27.8,"Europe"
"18","Belize",4300,53.3,"South/Latin America"
"19","Benin",1130,46.9,"Africa"
"20","Bhutan",2780,38,"Asia & Pacific"
"21","Bolivia",2360,46.3,"South/Latin America"
"22","Bosnia and Herzegovina",5360,32.7,"Europe"
"23","Botswana",7610,60.5,"Africa"
"24","Brazil",11400,51.6,"South/Latin America"
"25","Brunei",32900,40,"Asia & Pacific"
"26","Bulgaria",7660,37.3,"Europe"
"27","Burkina Faso",727,35.5,"Africa"
"28","Burundi",228,38.5,"Africa"
"29","Cambodia",1020,42,"Asia & Pacific"
"30","Cameroon",1440,46.5,"Africa"
"31","Canada",50300,31.7,"North America"
"32","Cape Verde",3410,47.2,"Africa"
"33","Central African Republic",347,56.2,"Africa"
"34","Chad",957,43.3,"Africa"
"35","Chile",14700,47.5,"South/Latin America"
"36","China",6500,39.4,"Asia & Pacific"
"37","Colombia",7580,51.7,"South/Latin America"
"38","Comoros",1350,45.5,"Arab States"
"39","Congo, Dem. Rep.",411,42.1,"Africa"
"40","Congo, Rep.",3010,48.9,"Africa"
"41","Costa Rica",9220,48.7,"South/Latin America"
"42","Cote d'Ivoire",1460,41.6,"Africa"
"43","Croatia",14100,31.5,"Europe"
"44","Cuba",6520,43.4,"South/Latin America"
"45","Cyprus",27900,34.9,"Europe"
"46","Czech Republic",21400,26,"Europe"
"47","Denmark",60400,28.3,"Europe"
"48","Djibouti",NA,44.1,"Arab States"
"49","Dominica",6890,40,"South/Latin America"
"50","Dominican Republic",6660,45.3,"South/Latin America"
"51","Ecuador",5330,45.6,"South/Latin America"
"52","Egypt",2700,31.2,"Middle east"
"53","El Salvador",3310,41.1,"South/Latin America"
"54","Equatorial Guinea",14100,40,"Africa"
"55","Eritrea",NA,40,"Africa"
"56","Estonia",17600,33.5,"Europe"
"57","Eswatini",4650,51.5,"Africa"
"58","Ethiopia",483,37.7,"Africa"
"59","Fiji",4360,36.8,"Asia & Pacific"
"60","Finland",45600,27.1,"Europe"
"61","France",41800,32.6,"Europe"
"62","Gabon",9520,38.7,"Africa"
"63","Gambia",755,37.8,"Africa"
"64","Georgia",4190,37,"Europe"
"65","Germany",45300,31.6,"Europe"
